,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
87,fiddler on the roof (tour),US-OR-820,8,10,9,86,OR
88,avenue q (tour),US-OR-820,34,23,22,77,OR
89,wicked (tour: munchkinland),US-SC-519,18,19,18,63,SC
90,wicked (tour: munchkinland),US-WA-819,61,22,20,92,WA
91,into the woods (tour),US-TX-623,16,13,17,30,TX
92,fiddler on the roof (tour),US-NC-560,33,19,18,45,NC
93,into the woods (tour),US-NC-517,18,24,21,92,NC
94,wicked (tour: munchkinland),CA-BC,9,9,14,33,BC
95,wicked (tour: munchkinland),US-AR-693,8,10,13,22,AR
96,fiddler on the roof (tour),US-CA-825,10,9,11,48,CA
97,avenue q (tour),US-MI-563,6,6,8,95,MI
99,wicked (tour: munchkinland),CA-ON,25,18,21,82,ON
108,fiddler on the roof (tour),US-WI-658,89,11,5,85,WI
109,wicked (tour: munchkinland),US-TX-635,52,12,5,83,TX
112,avenue q (tour),US-FL-539,55,5,0,34,FL
119,wicked (tour: emerald city),US-MI-505,38,17,15,93,MI
120,wicked (tour: emerald city),US-AZ-753,22,19,12,100,AZ
121,fiddler on the roof (tour),US-MA-521,41,25,19,51,MA
122,wicked (tour: munchkinland),US-TN-640,19,10,8,80,TN
123,wicked (tour: munchkinland),US-NC-517,64,25,16,94,NC
124,wicked (tour: munchkinland),US-VA-544,51,22,11,90,VA
126,wicked (tour: munchkinland),CA-MB,62,24,15,100,MB
127,wicked (tour: munchkinland),US-KS-678,32,14,8,100,KS
128,fiddler on the roof (tour),US-CO-751,17,14,8,100,CO
132,avenue q (tour),US-AR-670,58,31,13,95,AR
133,wicked (tour: munchkinland),US-OK-671,31,32,14,68,OK
134,wicked (tour: munchkinland),US-NC-560,10,9,8,66,NC
136,fiddler on the roof (tour),US-CA-807,22,9,9,100,CA
137,into the woods (tour),US-DC-511,12,14,12,97,DC
138,avenue q (tour),US-NC-517,10,9,8,83,NC
139,into the woods (tour),US-OH-510,13,4,5,100,OH
142,wicked (tour: munchkinland),US-OH-547,52,23,14,65,OH
143,wicked (tour: munchkinland),US-AZ-753,26,14,9,79,AZ
144,wicked (tour: emerald city),US-FL-534,94,7,15,100,FL
145,avenue q (tour),US-PA-566,29,14,10,56,PA
151,wicked (tour: munchkinland),US-CO-751,12,11,8,82,CO
152,avenue q (tour),US-TN-640,24,4,6,91,TN
154,wicked (tour: munchkinland),US-NY-538,21,9,11,91,NY
165,into the woods (tour),US-KY-541,21,6,4,100,KY
169,wicked (tour: chicago),US-IL-602,25,4,3,68,IL
172,wicked (tour: emerald city),US-LA-622,15,3,4,100,LA
175,avenue q (tour),US-IN-527,44,34,25,100,IN
179,wicked (tour: munchkinland),US-CA-825,22,5,5,100,CA
182,wicked (tour: munchkinland),US-WI-669,37,7,10,100,WI
184,wicked (tour: emerald city),US-MN-613,15,8,6,100,MN
188,wicked (tour: munchkinland),CA-AB,35,28,26,48,AB
190,wicked (tour: munchkinland),US-FL-571,40,42,36,60,FL
191,wicked (tour: munchkinland),US-KY-529,12,25,20,100,KY
192,wicked (tour: munchkinland),US-OH-542,60,56,46,64,OH
195,wicked (tour: munchkinland),US-AZ-789,48,30,28,80,AZ
197,into the woods (tour),US-NJ,42,37,39,82,NJ
198,wicked (tour: emerald city),US-MA-506,61,52,47,67,MA
199,wicked (tour: emerald city),US-TX-641,46,55,49,95,TX
200,fiddler on the roof (tour),US-DC-511,40,45,41,79,DC
201,wicked (tour: emerald city),US-TX-623,46,33,27,100,TX
202,wicked (tour: emerald city),US-PA-508,48,42,42,79,PA
203,wicked (tour: emerald city),CA-ON,18,19,21,96,ON
204,wicked (tour: los angeles),US-CA-803,40,33,39,62,CA
205,wicked (tour: munchkinland),US-IL-609,57,37,35,67,IL
206,wicked (tour: munchkinland),US-AL-630,31,33,32,77,AL
207,wicked (tour: emerald city),US-KY-529,9,14,12,100,KY
208,avenue q (tour),US-OH-515,18,19,20,100,OH
209,wicked (tour: munchkinland),US-LA-622,23,26,26,100,LA
210,wicked (tour: emerald city),US-CA-825,44,35,33,100,CA
211,wicked (tour: emerald city),US-CA-803,47,46,38,54,CA
212,wicked (tour: emerald city),US-NY-555,29,47,33,51,NY
215,wicked (tour: munchkinland),US-IN-527,43,27,22,100,IN
217,wicked (tour: emerald city),US-OR-820,53,46,45,61,OR
218,avenue q (tour),US-CA-825,33,31,29,99,CA
219,avenue q (tour),US-NC-560,36,35,33,100,NC
220,movin' out (tour),US-TX-635,35,24,22,100,TX
221,wicked (tour: emerald city),US-GA-524,59,36,33,100,GA
223,avenue q (tour),US-CA-807,44,39,39,73,CA
224,avenue q (tour),US-OH-510,38,41,35,100,OH
225,avenue q (tour),US-NY-538,25,41,40,100,NY
226,wicked (tour: emerald city),US-NC-517,33,26,22,100,NC
228,wicked (tour: emerald city),US-WA-819,9,15,18,100,WA
236,avenue q (tour),US-GA-524,53,18,11,29,GA
238,movin' out (tour),US-NE-652,64,10,9,75,NE
