,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
2440,avenue q (tour),US-MO-616,36,30,21,42,MO
2442,wicked (tour: emerald city),US-CA-807,47,26,20,52,CA
2443,wicked (tour: emerald city),US-OH-510,57,33,32,16,OH
2444,wicked (tour: emerald city),US-FL-534,35,41,30,53,FL
2446,avenue q (tour),US-MD-512,77,31,16,67,MD
2447,movin' out (tour),US-AZ-753,58,15,7,26,AZ
2448,movin' out (tour),US-NV-770,73,24,11,27,NV
2450,movin' out (tour),US-MA-521,74,27,17,34,MA
2455,avenue q (tour),US-MN-613,62,41,27,74,MN
2456,wicked (tour: emerald city),US-MI-551,65,17,6,0,MI
2457,wicked (tour: emerald city),US-NY-538,62,37,28,55,NY
2458,wicked (tour: emerald city),US-TX-618,45,17,14,20,TX
2462,avenue q (tour),US-NY-538,76,41,25,66,NY
2464,wicked (tour: emerald city),US-CO-751,27,23,22,51,CO
2465,movin' out (tour),CA-ON,34,22,23,26,ON
2467,avenue q (tour),US-MI-551,84,12,18,67,MI
2468,bombay dreams (tour),US-PA-508,55,19,22,53,PA
2471,avenue q (tour),US-IA-679,48,16,16,17,IA
2473,movin' out (tour),US-CA-825,51,34,12,8,CA
2475,avenue q (tour),US-PA-508,54,4,4,34,PA
2477,movin' out (tour),US-TX-618,50,10,5,100,TX
2480,avenue q (tour),US-CO-751,47,15,8,0,CO
2481,avenue q (tour),US-NE-652,54,6,5,0,NE
2485,wicked (tour: emerald city),US-HI-744,96,40,26,40,HI
2488,into the woods (tour),US-NC-517,75,12,10,29,NC
2490,into the woods (tour),US-PA-566,88,35,22,66,PA
2491,avenue q (tour),US-FL-561,39,14,7,34,FL
2494,wicked (tour: emerald city),US-FL-539,28,17,18,49,FL
2518,wicked (tour: los angeles),US-CA-803,52,19,6,51,CA
2528,wicked (tour: san francisco),US-CA-807,67,11,3,58,CA
2544,wicked (tour: munchkinland),US-TX-635,33,17,8,90,TX
2545,into the woods (tour),US-IL-609,15,11,9,72,IL
2546,wicked (tour: munchkinland),US-VA-556,17,8,7,91,VA
2547,wicked (tour: emerald city),US-AZ-789,22,13,11,100,AZ
2548,into the woods (tour),US-FL-561,20,8,7,100,FL
2550,avenue q (tour),US-CA-803,65,12,2,50,CA
2556,wicked (tour: munchkinland),US-GA-524,13,5,3,100,GA
2559,wicked (tour: munchkinland),US-MN-613,11,5,5,96,MN
2560,fiddler on the roof (tour),US-FL-534,47,31,16,100,FL
2561,wicked (tour: munchkinland),US-MI-551,20,4,4,100,MI
2565,wicked (tour: munchkinland),US-KY-529,50,39,39,100,KY
2566,wicked (tour: emerald city),US-TX-765,70,64,63,73,TX
2567,avenue q (tour),US-IL-602,72,63,57,74,IL
2568,fiddler on the roof (tour),US-NC-560,55,49,43,90,NC
2569,into the woods (tour),US-CA-803,22,22,18,100,CA
2570,fiddler on the roof (tour),US-MD-512,47,38,35,87,MD
2571,wicked (tour: emerald city),US-WA-819,32,36,37,80,WA
2572,wicked (tour: munchkinland),CA-BC,46,38,33,100,BC
2573,wicked (tour: emerald city),US-IL-675,54,53,48,93,IL
2574,wicked (tour: emerald city),US-OH-535,31,28,26,26,OH
2575,wicked (tour: munchkinland),US-TX-623,44,30,27,82,TX
2576,avenue q (tour),US-NY-523,56,50,45,90,NY
2577,into the woods (tour),US-TX-641,17,19,17,84,TX
2579,wicked (tour: munchkinland),US-CT-533,32,36,28,100,CT
2581,fiddler on the roof (tour),US-IL-602,22,21,18,79,IL
2582,into the woods (tour),US-DC-511,13,13,14,77,DC
2583,wicked (tour: emerald city),US-LA-622,25,20,17,100,LA
2584,avenue q (tour),US-SC-567,23,17,14,82,SC
2586,wicked (tour: munchkinland),US-IN-527,6,14,15,71,IN
2588,wicked (tour: emerald city),US-MA-506,24,23,21,99,MA
2589,wicked (tour: munchkinland),US-MD-512,19,20,16,100,MD
2592,wicked (tour: munchkinland),US-AR-693,34,16,11,100,AR
2594,wicked (tour: emerald city),CA-ON,8,14,17,49,ON
2595,wicked (tour: munchkinland),US-OR-801,34,22,17,93,OR
2597,fiddler on the roof (tour),US-OH-510,52,37,27,32,OH
2598,fiddler on the roof (tour),US-TX-635,17,29,30,87,TX
2599,avenue q (tour),US-VA-544,33,14,19,100,VA
2602,wicked (tour: munchkinland),US-NM-790,19,16,16,100,NM
2603,wicked (tour: munchkinland),US-NY-523,50,20,21,100,NY
2604,wicked (tour: munchkinland),US-VA-544,58,19,20,100,VA
2605,wicked (tour: munchkinland),US-TX-641,28,22,19,100,TX
2606,wicked (tour: emerald city),US-DC-511,28,10,8,100,DC
2612,into the woods (tour),US-OH-510,24,25,24,87,OH
2613,fiddler on the roof (tour),US-CA-803,61,15,18,100,CA
2615,avenue q (tour),US-FL-539,45,19,18,100,FL
2617,avenue q (tour),US-TN-640,19,11,15,100,TN
2618,into the woods (tour),US-SD-725,31,19,14,100,SD
2619,wicked (tour: munchkinland),CA-SK,31,26,16,99,SK
2620,wicked (tour: emerald city),US-TX-618,19,13,11,100,TX
2623,anything goes,US-SC-567,54,4,12,65,SC
2625,avenue q (tour),US-FL-548,14,32,23,46,FL
2634,wicked (tour: munchkinland),US-IL-609,73,9,9,72,IL
2635,fiddler on the roof (tour),US-AR-670,55,18,6,35,AR
2640,wicked (tour: emerald city),US-VA-556,10,1,5,65,VA
2645,avenue q (tour),US-MI-505,9,4,7,79,MI
2646,wicked (tour: munchkinland),US-CO-751,10,3,5,100,CO
2652,avenue q (tour),US-NC-517,16,7,3,62,NC
2659,wicked (tour: munchkinland),US-FL-561,24,6,9,0,FL
2660,fiddler on the roof (tour),US-MA-506,9,4,4,72,MA
2671,avenue q (tour),US-IN-527,17,4,5,100,IN
2676,wicked (tour: munchkinland),US-KS-678,33,7,8,100,KS
2679,fiddler on the roof (tour),US-FL-571,24,4,5,100,FL
2700,avenue q (tour),US-IL-609,80,9,8,35,IL
2706,movin' out (tour),US-MO-616,39,29,24,81,MO
2707,wicked (tour: emerald city),US-IL-602,38,27,21,92,IL
2708,wicked (tour: emerald city),US-OK-650,28,28,26,100,OK
2710,avenue q (tour),US-DC-511,33,31,31,63,DC
2711,avenue q (tour),US-IA-679,17,19,19,86,IA
2712,movin' out (tour),US-NE-652,29,22,25,100,NE
2713,movin' out (tour),US-OR-820,16,18,17,100,OR
2714,bombay dreams (tour),US-NC-517,25,22,17,87,NC
2715,wicked (tour: emerald city),US-PA-508,35,27,28,100,PA
2716,avenue q (tour),US-CA-803,35,27,29,94,CA
2717,bombay dreams (tour),US-PA-508,15,23,23,93,PA
2718,wicked (tour: emerald city),US-CA-825,33,21,19,100,CA
2719,bombay dreams (tour),US-TX-623,19,26,25,100,TX
2720,movin' out (tour),US-MN-613,25,39,38,97,MN
2721,movin' out (tour),US-IL-602,26,30,33,98,IL
2723,wicked (tour: emerald city),US-MN-613,14,22,23,100,MN
2725,movin' out (tour),US-TX-635,17,17,17,84,TX
2727,wicked (tour: emerald city),US-WA-819,21,18,18,100,WA
2729,wicked (tour: emerald city),US-MA-506,32,24,25,45,MA
2730,avenue q (tour),US-OH-510,37,20,21,96,OH
2731,wicked (tour: emerald city),US-MI-551,16,21,24,100,MI
2732,movin' out (tour),US-CA-825,11,17,20,100,CA
2733,wicked (tour: emerald city),US-MA-521,15,24,22,84,MA
2734,wicked (tour: emerald city),US-CA-807,31,24,25,98,CA
2735,bombay dreams (tour),US-WA-819,16,24,23,100,WA
2736,movin' out (tour),US-CO-751,37,30,32,100,CO
2737,wicked (tour: emerald city),US-MI-505,19,17,16,100,MI
2738,avenue q (tour),US-CA-825,18,32,27,75,CA
2739,bombay dreams (tour),US-OH-535,37,25,22,98,OH
2740,avenue q (tour),US-AZ-789,14,15,18,100,AZ
2741,avenue q (tour),US-MO-616,21,23,22,100,MO
2742,movin' out (tour),US-DC-511,49,41,34,100,DC
2743,avenue q (tour),US-NY-538,37,15,15,100,NY
2745,avenue q (tour),US-MN-613,11,14,12,100,MN
2746,wicked (tour: emerald city),US-PA-504,10,14,13,88,PA
2747,wicked (tour: emerald city),US-OR-820,10,16,16,90,OR
2748,wicked (tour: emerald city),US-CO-751,15,29,28,86,CO
2749,avenue q (tour),US-GA-524,28,15,14,100,GA
2750,wicked (tour: emerald city),US-MO-616,20,26,26,100,MO
2751,wicked (tour: emerald city),US-IL-609,22,20,16,100,IL
2753,movin' out (tour),US-OH-515,38,35,34,100,OH
2754,movin' out (tour),US-MA-506,17,15,20,100,MA
2755,bombay dreams (tour),US-CO-751,26,22,23,100,CO
2757,bombay dreams (tour),US-CA-803,24,29,30,100,CA
2758,wicked (tour: emerald city),US-CA-803,34,27,28,100,CA
2759,movin' out (tour),US-NC-560,26,34,31,93,NC
2760,avenue q (tour),US-PA-508,12,17,15,100,PA
2761,movin' out (tour),US-NY-538,19,28,29,100,NY
2762,movin' out (tour),US-MA-521,31,19,19,100,MA
2763,wicked (tour: emerald city),US-DC-511,17,17,17,100,DC
2765,bombay dreams (tour),US-GA-524,14,22,20,100,GA
2767,movin' out (tour),CA-ON,10,10,13,100,ON
