,Unnamed: 0,title,tour_descript,show_type,tour_opening,tour_closing,original_or_revival,reference_url,year
528,528,Follies (Tour),Tour,Musical,1972-07-03 00:00:00,1972-10-01 00:00:00,Original,http://www.ibdb.com/broadway-production/follies-524723#Tours,1972
529,529,The Gingerbread Lady (Tour),Tour,Play,1971-10-18 00:00:00,1972-05-06 00:00:00,Original,http://www.ibdb.com/broadway-production/the-gingerbread-lady-524848#Tours,1971
530,530,Coco (Tour),Tour,Musical,1971-01-11 00:00:00,1971-06-26 00:00:00,Original,http://www.ibdb.com/broadway-production/coco-524855#Tours,1971
531,531,A Christmas Carol (Tour),Tour,Musical,1981-10-30 00:00:00,1981-12-20 00:00:00,Original,http://www.ibdb.com/broadway-production/a-christmas-carol-524903#Tours,1981
532,532,Little Johnny Jones (Tour),Tour,Musical,1981-05-01 00:00:00,1982-02-21 00:00:00,Revival,http://www.ibdb.com/broadway-production/little-johnny-jones-525020#Tours,1981
533,533,Godspell (Tour),Tour,Musical,1972-04-01 00:00:00,1973-09-16 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525036#Tours,1972
534,534,Godspell (Tour),Tour,Musical,1972-05-26 00:00:00,1973-08-12 00:00:00,Original,http://www.ibdb.com/broadway-production/godspell-525040#Tours,1972
535,535,Andrew Lloyd Webber - Music of the Night (Tour),Tour,Musical,1995-10-31 00:00:00,1996-05-12 00:00:00,Original,http://www.ibdb.com/broadway-production/andrew-lloyd-webber--music-of-the-night-525079#Tours,1995
536,536,Andrew Lloyd Webber - Music of the Night (Tour),Tour,Musical,1996-07-09 00:00:00,1997-02-23 00:00:00,Original,http://www.ibdb.com/broadway-production/andrew-lloyd-webber--music-of-the-night-525090#Tours,1996
537,537,The Prisoner of Second Avenue (Tour),Tour,Play,1973-10-12 00:00:00,1974-03-07 00:00:00,Original,http://www.ibdb.com/broadway-production/the-prisoner-of-second-avenue-525158#Tours,1973
