,Unnamed: 0,city,geo_code,full_code,metro_area_name
367,367,"Mobile, AL",686,US-AL-686,Mobile AL-Pensacola (Ft. Walton Beach) FL
368,368,"Escondido, CA",825,US-CA-825,San Diego CA
369,369,"Cupertino, CA",807,US-CA-807,San Francisco-Oakland-San Jose CA
370,370,"Portsmouth, VA",544,US-VA-544,Norfolk-Portsmouth-Newport News VA
371,371,"Scottsdale, AZ",753,US-AZ-753,Phoenix AZ
372,372,"Mashantucket, CT",,US-CT,Connecticut
373,373,"Mankato, MN",737,US-MN-737,Mankato MN
374,374,"Durham, NH",506,US-NH-506,Boston MA-Manchester NH
375,375,"Decatur, IL",648,US-IL-648,Champaign & Springfield-Decatur IL
376,376,"Houma, LA",622,US-LA-622,New Orleans LA
377,377,"Amherst, MA",543,US-MA-543,Springfield-Holyoke MA
378,378,"Monroe, LA",628,US-LA-628,Monroe LA-El Dorado AR
379,379,"Lake Charles, LA",643,US-LA-643,Lake Charles LA
380,380,"Ft. Smith, AR",670,US-AR-670,Ft. Smith-Fayetteville-Springdale-Rogers AR
381,381,"Wichita Falls, TX",627,US-TX-627,Wichita Falls TX & Lawton OK
382,382,"Aurora, IL",602,US-IL-602,Chicago IL
383,383,"Terre Haute, IN",581,US-IN-581,Terre Haute IN
384,384,"St. John&amp;#039;s, NL",NL,CA-NL,Newfoundland and Labrador
385,385,"Sydney, NS",NS,CA-NS,Nova Scotia
386,386,"New Brunswick, NB",NB,CA-NB,New Brunswick
387,387,"Lake Placid, NY",523,US-NY-523,Burliington VT-Plattsburgh NY
388,388,"Auburn Hills, MI",505,US-MI-505,Detroit MI
389,389,"Macomb, IL",675,US-IL-675,Peoria-Bloomington IL
390,390,"Winston-Salem, NC",518,US-NC-518,Greensboro-High Point-Winston Salem NC
391,391,"Springfield, MA",543,US-MA-543,Springfield-Holyoke MA
392,392,"Andover, MA",506,US-MA-506,Boston MA-Manchester NH
393,393,"Devon, PA",504,US-PA-504,Philadelphia PA
394,394,"Westbury, NY",501,US-NY-501,New York NY
395,395,"Ann Arbor, MI",505,US-MI-505,Detroit MI
396,396,"Neenah, WI",658,US-WI-658,Green Bay-Appleton WI
397,397,"Merrilville, IN",581,US-IN-581,South Bend-Elkhart IN
398,398,"Quebec City, QC",QC,CA-QC,Québec
399,399,"Livonia, MI",505,US-MI-505,Detroit MI
400,400,"Tacoma, WA",810,US-WA-810,Yakima-Pasco-Richland-Kennewick WA
401,401,"Boca Raton, FL",548,US-FL-548,West Palm Beach-Ft. Pierce FL
402,402,"Fairfax, VA",511,US-VA-511,Washington DC (Hagerstown MD)
403,403,"Sunrise, FL",528,US-FL-528,Miami-Ft. Lauderdale FL
404,404,"Yountville, CA",807,US-CA-807,San Francisco-Oakland-San Jose CA
405,405,"Santa Cruz, CA",807,US-CA-807,San Francisco-Oakland-San Jose CA
