,title,tour_descript,show_type_tour,tour_opening,tour_closing,original_or_revival,reference_url,year_tour,year_nyc,opening_date,closing_date,production_type,show_type_nyc,n_performances_nyc
56,Rock of Ages,Rock of Ages (Tour),Musical,2010-09-21 00:00:00,2011-07-24 00:00:00,Original,http://www.ibdb.com/broadway-production/rock-of-ages-505758#Tours,2010,2009,2009-04-07,2015-01-18,Original Production,Musical,
57,Guys and Dolls,Guys and Dolls (Tour),Musical,2011-07-09 00:00:00,2011-08-21 00:00:00,Revival,http://www.ibdb.com/broadway-production/guys-and-dolls-505774#Tours,2011,2009,2009-03-01,2009-06-14,Revival,Musical,
58,Fiddler on the Roof,Fiddler on the Roof (Tour),Musical,2009-02-07 00:00:00,2010-06-27 00:00:00,Revival,http://www.ibdb.com/broadway-production/fiddler-on-the-roof-505972#Tours,2009,2004,2004-02-26,2006-01-08,Revival,Musical,781.0
59,In the Heights,In the Heights (Tour),Musical,2009-10-27 00:00:00,2011-04-03 00:00:00,Original,http://www.ibdb.com/broadway-production/in-the-heights-506170#Tours,2009,2008,2008-03-09,2011-01-09,Original Production,Musical,
60,Chitty Chitty Bang Bang,Chitty Chitty Bang Bang (Tour),Musical,2008-11-15 00:00:00,2009-08-02 00:00:00,Original,http://www.ibdb.com/broadway-production/chitty-chitty-bang-bang-506268#Tours,2008,2005,2005-04-28,2005-12-31,Original Production,Musical,285.0
61,A Chorus Line,A Chorus Line (Tour),Musical,2008-05-04 00:00:00,2010-06-13 00:00:00,Revival,http://www.ibdb.com/broadway-production/a-chorus-line-506307#Tours,2008,2006,2006-10-05,2008-08-17,Revival,Musical,759.0
62,Into the Woods,Into the Woods (Tour),Musical,2016-11-26 00:00:00,2017-05-28 00:00:00,Revival,http://www.ibdb.com/broadway-production/into-the-woods-506730#Tours,2016,2002,2002-04-30,2002-12-29,Revival,Musical,279.0
63,The Color Purple,The Color Purple (Tour),Musical,2007-04-17 00:00:00,2010-02-28 00:00:00,Original,http://www.ibdb.com/broadway-production/the-color-purple-506855#Tours,2007,2005,2005-12-01,2008-02-24,Original Production,Musical,910.0
64,The Color Purple,The Color Purple (Tour),Musical,2017-10-07 00:00:00,2018-08-26 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-color-purple-515750#Tours,2017,2015,2015-12-10,2017-01-08,Revival,Musical,
65,Spring Awakening,Spring Awakening (Tour),Musical,2008-08-15 00:00:00,2010-05-23 00:00:00,Original,http://www.ibdb.com/broadway-production/spring-awakening-506872#Tours,2008,2006,2006-12-10,2009-01-18,Original Production,Musical,
66,The 39 Steps,The 39 Steps (Tour),Play,2009-11-05 00:00:00,2010-06-13 00:00:00,Original,http://www.ibdb.com/broadway-production/the-39-steps-506935#Tours,2009,2008,2008-01-15,2010-01-10,Original Production,Play,
67,A Bronx Tale,A Bronx Tale (Tour),Play,2008-09-02 00:00:00,2010-04-18 00:00:00,Original,http://www.ibdb.com/broadway-production/a-bronx-tale-506936#Tours,2008,2007,2007-10-25,2008-02-24,Original Production,Solo,108.0
68,August: Osage County,August: Osage County (Tour),Play,2009-07-24 00:00:00,2010-05-09 00:00:00,Original,http://www.ibdb.com/broadway-production/august-osage-county-506937#Tours,2009,2007,2007-12-04,2009-06-28,Original Production,Play,
69,Dreamgirls,Dreamgirls (Tour),Musical,2009-11-01 00:00:00,2010-12-26 00:00:00,Revival,http://www.ibdb.com/broadway-production/dreamgirls-506988#Tours,2009,2001,2001-09-24,2001-09-24,Revival,Musical,1.0
70,The Drowsy Chaperone,The Drowsy Chaperone (Tour),Musical,2007-09-19 00:00:00,2008-11-16 00:00:00,Original,http://www.ibdb.com/broadway-production/the-drowsy-chaperone-507021#Tours,2007,2006,2006-05-01,2007-12-30,Original Production,Musical,674.0
